"Pathway"	"Total_sample_counts"
"ko00010"	125106.337301587
"ko00020"	91027.003968254
"ko00030"	94388.2436507936
"ko00040"	46249.0119047619
"ko00051"	80570.1845238095
"ko00052"	43609.3821428571
"ko00053"	23348.2876984127
"ko00061"	77191.071031746
"ko00071"	47252.4555555556
"ko00072"	15922.9531746032
"ko00120"	724.601587301587
"ko00121"	720.518253968254
"ko00130"	52009.7996031746
"ko00140"	575.679761904762
"ko00190"	132537.527777778
"ko00195"	41973.9567460317
"ko00220"	75176.6567460317
"ko00230"	314567.370634921
"ko00232"	56.125
"ko00240"	216689.106746032
"ko00250"	95775.3777777778
"ko00260"	135501.693253968
"ko00261"	28255.3202380952
"ko00270"	111859.219444444
"ko00280"	60163.3067460317
"ko00281"	10588.0349206349
"ko00290"	63534.1591269841
"ko00300"	60965.0646825397
"ko00310"	42586.0226190476
"ko00311"	1668.67142857143
"ko00330"	64548.8301587302
"ko00332"	10020.4579365079
"ko00333"	22527.3178571429
"ko00340"	57409.469047619
"ko00350"	41077.2412698413
"ko00360"	43635.8821428571
"ko00361"	6472.51428571429
"ko00362"	47175.9615079365
"ko00363"	23.75
"ko00364"	6507.12619047619
"ko00365"	70.3833333333333
"ko00380"	42736.8420634921
"ko00400"	105489.051587302
"ko00401"	19796.5658730159
"ko00404"	798.583333333333
"ko00405"	10733.7341269841
"ko00410"	22971.4218253968
"ko00430"	18611.4892857143
"ko00440"	5430.0619047619
"ko00450"	43206.944047619
"ko00460"	23702.2880952381
"ko00471"	17672.9912698413
"ko00472"	1298.65833333333
"ko00473"	11990.1047619048
"ko00480"	60978.8428571429
"ko00500"	68911.1071428571
"ko00510"	1277.00238095238
"ko00511"	3066.95753968254
"ko00513"	829.719444444444
"ko00514"	510.4
"ko00515"	535.4
"ko00520"	133062.629761905
"ko00521"	21742.7706349206
"ko00523"	10703.3964285714
"ko00524"	1764.2873015873
"ko00525"	6479.97857142857
"ko00531"	6947.97698412698
"ko00540"	87847.9154761905
"ko00550"	83366.4666666667
"ko00561"	40907.3630952381
"ko00562"	19919.6166666667
"ko00564"	83352.6384920635
"ko00565"	1007.90357142857
"ko00571"	2212.05
"ko00572"	5558.5496031746
"ko00590"	4031.45436507937
"ko00591"	464.316666666667
"ko00592"	3280.84166666667
"ko00600"	1812.55634920635
"ko00603"	1381.325
"ko00604"	829.719444444444
"ko00620"	168558.672222222
"ko00621"	3830.71428571429
"ko00622"	8715.06071428572
"ko00623"	4944.54761904762
"ko00624"	3411.63134920635
"ko00625"	14684.1198412698
"ko00626"	8744.87261904762
"ko00627"	16776.1297619048
"ko00630"	125918.014285714
"ko00633"	2691.54444444444
"ko00640"	101194.432936508
"ko00642"	2574.24642857143
"ko00643"	10011.3888888889
"ko00650"	87502.1134920635
"ko00660"	41268.6861111111
"ko00670"	64047.6734126984
"ko00680"	112814.776984127
"ko00710"	66291.7281746032
"ko00720"	110268.98015873
"ko00730"	52437.1523809524
"ko00740"	39963.4650793651
"ko00750"	32705.3234126984
"ko00760"	63764.0186507936
"ko00770"	70464.2813492063
"ko00780"	68132.8785714286
"ko00785"	10825.6138888889
"ko00790"	111702.636507936
"ko00791"	13858.7476190476
"ko00830"	6897.22579365079
"ko00860"	61891.8313492063
"ko00900"	61896.3523809524
"ko00901"	223.785714285714
"ko00902"	23.75
"ko00903"	9094.69444444445
"ko00906"	1869.96071428571
"ko00908"	4056.5123015873
"ko00909"	10.3333333333333
"ko00910"	56331.0071428571
"ko00920"	79620.8738095238
"ko00930"	6751.51468253968
"ko00940"	5298.24166666667
"ko00950"	7391.38055555555
"ko00960"	16333.3035714286
"ko00965"	1315.775
"ko00966"	5530.97896825397
"ko00970"	429119.703174603
"ko00980"	17608.9178571429
"ko00981"	3453.74285714286
"ko00982"	18486.2952380952
"ko00983"	57887.8285714286
"ko00984"	1408.57380952381
"ko00999"	7254.48849206349
"ko01040"	25788.4011904762
"ko01051"	5529.91626984127
"ko01053"	7562.18253968254
"ko01054"	932.269444444445
"ko01055"	5308.88333333333
"ko01057"	36.5
"ko01059"	36.5
"ko01062"	291.066666666667
"ko01100"	2352524.43968254
"ko01110"	1060768.42063492
"ko01120"	716528.818650794
"ko01130"	794835.724603174
"ko01200"	388898.429761905
"ko01210"	93454.9809523809
"ko01212"	98838.623015873
"ko01220"	39382.7948412698
"ko01230"	494952.644047619
"ko01501"	72014.4432539682
"ko01502"	27384.9892857143
"ko01503"	64129.3162698413
"ko01523"	27367.2845238095
"ko01524"	17630.2630952381
"ko02010"	571662.487301587
"ko02020"	314676.103571429
"ko02024"	234335.086507937
"ko02025"	68948.730952381
"ko02026"	77623.4452380952
"ko02030"	67482.2305555556
"ko02040"	60236.7484126984
"ko02060"	56485.2448412698
"ko03008"	10251.7746031746
"ko03010"	367508.55515873
"ko03013"	9112.37103174603
"ko03018"	74730.4996031746
"ko03020"	20705.7825396825
"ko03022"	249.066666666667
"ko03030"	83518.3880952381
"ko03050"	598.733333333333
"ko03060"	82906.6
"ko03070"	117030.558333333
"ko03320"	18288.2273809524
"ko03410"	54005.5452380952
"ko03420"	41748.9492063492
"ko03430"	98947.0924603174
"ko03440"	120514.080555556
"ko03450"	1984.77976190476
"ko04011"	6880.78214285714
"ko04013"	6112.3373015873
"ko04014"	15.3333333333333
"ko04016"	17403.946031746
"ko04024"	463.966666666667
"ko04066"	14709.5571428571
"ko04068"	13594.5408730159
"ko04070"	16167.9996031746
"ko04071"	129.65
"ko04072"	4421.75357142857
"ko04080"	345.05
"ko04112"	59642.5702380952
"ko04113"	775.879761904762
"ko04115"	1441.05833333333
"ko04122"	69198.4468253968
"ko04138"	577.416666666667
"ko04141"	4870.23452380952
"ko04142"	1255.92222222222
"ko04144"	75.4333333333333
"ko04146"	33764.4654761905
"ko04151"	4823.91706349206
"ko04152"	8409.98253968254
"ko04210"	1890.73214285714
"ko04211"	12993.1194444444
"ko04212"	30532.5595238095
"ko04213"	19241.1150793651
"ko04214"	6229.67301587302
"ko04215"	1404.55833333333
"ko04216"	10397.1694444444
"ko04217"	21354.5452380952
"ko04260"	3272.59642857143
"ko04612"	4222.49563492063
"ko04614"	724.340476190476
"ko04621"	12404.1424603175
"ko04622"	199.340476190476
"ko04626"	14591.3353174603
"ko04657"	4222.49563492063
"ko04659"	4222.49563492063
"ko04666"	15.3333333333333
"ko04714"	18388.2884920635
"ko04724"	11689.2964285714
"ko04726"	1101.1630952381
"ko04727"	12050.026984127
"ko04728"	1101.1630952381
"ko04910"	8659.16388888889
"ko04912"	15.3333333333333
"ko04914"	4222.49563492063
"ko04915"	4222.49563492063
"ko04916"	26.7
"ko04917"	3757.83293650794
"ko04918"	8241.1869047619
"ko04919"	300.05
"ko04920"	10522.6920634921
"ko04922"	18717.5115079365
"ko04924"	88.8333333333333
"ko04928"	203.661111111111
"ko04930"	6013.87817460317
"ko04931"	10062.5912698413
