"Pathway"	"Total_sample_counts"
"ko00010"	214770.181240981
"ko00020"	46776.8323232323
"ko00030"	152144.166810967
"ko00040"	69913.5754689755
"ko00051"	270844.851659452
"ko00052"	192176.09004329
"ko00053"	44806.5272727273
"ko00061"	85422.8466089466
"ko00071"	51396.7277056277
"ko00072"	7201.97532467533
"ko00120"	5911.70808080808
"ko00121"	7123.56522366522
"ko00130"	29854.5838383838
"ko00140"	2025.4531024531
"ko00190"	165069.755988456
"ko00195"	55466.6551226551
"ko00220"	86695.4466089466
"ko00230"	453806.727705628
"ko00240"	351120.01991342
"ko00250"	168107.813419913
"ko00260"	119348.384415584
"ko00261"	34424.9096681097
"ko00270"	167002.373015873
"ko00280"	48100.8324675325
"ko00281"	5839.61038961039
"ko00290"	35475.9370851371
"ko00300"	74974.5357864358
"ko00310"	22478.5268398268
"ko00311"	10944.4111111111
"ko00330"	89369.2810966811
"ko00332"	13866.6637806638
"ko00333"	22801.7881673882
"ko00340"	29923.3258297258
"ko00350"	32133.4113997114
"ko00360"	34946.4568542569
"ko00361"	7952.37792207792
"ko00362"	24639.5855699856
"ko00364"	2539.07792207792
"ko00380"	22025.2965367965
"ko00400"	86487.5939393939
"ko00401"	11582.6275613276
"ko00405"	1828.20663780664
"ko00410"	33645.3852813853
"ko00430"	30655.9963924964
"ko00440"	11827.3748917749
"ko00450"	66893.3441558442
"ko00460"	25996.5802308802
"ko00471"	34399.9291486291
"ko00472"	75
"ko00473"	27457.3417027417
"ko00480"	66970.5323232323
"ko00500"	252345.116017316
"ko00510"	117.811111111111
"ko00511"	67713.929004329
"ko00513"	6781.8494949495
"ko00520"	368944.604040404
"ko00521"	51266.5356421356
"ko00523"	26357.2163059163
"ko00524"	6909.90158730159
"ko00525"	14464.8193362193
"ko00531"	53036.1940836941
"ko00540"	40750.2743145743
"ko00550"	163771.903174603
"ko00561"	113465.706637807
"ko00562"	46770.0021645022
"ko00564"	163644.633621934
"ko00565"	6815.52077922078
"ko00572"	1402.22077922078
"ko00590"	13673.8526695527
"ko00591"	1402.22077922078
"ko00592"	4206.66233766234
"ko00600"	44491.131024531
"ko00601"	14.2
"ko00603"	19295.6258297258
"ko00604"	6781.8494949495
"ko00620"	205950.855266955
"ko00621"	5182.84776334776
"ko00622"	5182.84776334776
"ko00623"	2539.07792207792
"ko00624"	115.363636363636
"ko00625"	27092.4417027417
"ko00626"	16265.8417027417
"ko00627"	13065.1701298701
"ko00630"	89451.4584415584
"ko00633"	14623.1181818182
"ko00640"	126170.149494949
"ko00642"	2804.44155844156
"ko00643"	5759.39090909091
"ko00650"	123239.318037518
"ko00660"	19878.1555555556
"ko00670"	70362.8848484848
"ko00680"	127712.098989899
"ko00710"	87541.3786435786
"ko00720"	125204.488744589
"ko00730"	114913.616738817
"ko00740"	44484.9382395382
"ko00750"	19994.8219336219
"ko00760"	96976.7541125541
"ko00770"	73390.7629148629
"ko00780"	68657.7088023088
"ko00785"	4444.73203463203
"ko00790"	114367.82005772
"ko00791"	7496.14285714286
"ko00830"	2690.44458874459
"ko00860"	193157.227994228
"ko00900"	88766.5624819625
"ko00903"	8217.74155844156
"ko00908"	7051.143001443
"ko00910"	87948.8350649351
"ko00920"	101206.624675325
"ko00930"	2804.44155844156
"ko00940"	7235.75743145743
"ko00944"	6653.55714285714
"ko00950"	8453.36378066378
"ko00960"	12601.6735930736
"ko00965"	1286.85714285714
"ko00966"	1520.03189033189
"ko00970"	835987.338095238
"ko00980"	6613.59884559885
"ko00981"	5413.3
"ko00982"	6613.59884559885
"ko00983"	94891.7481962482
"ko00999"	11255.3083694084
"ko01040"	21515.2555555556
"ko01051"	13756.7415584416
"ko01053"	9365.12929292929
"ko01054"	115.363636363636
"ko01055"	7210.39855699856
"ko01100"	3328162.61919192
"ko01110"	1253026.21529582
"ko01120"	946162.663636364
"ko01130"	902358.754978355
"ko01200"	465433.736219336
"ko01210"	62246.6075036075
"ko01212"	110347.162193362
"ko01220"	36623.1519480519
"ko01230"	530677.247907648
"ko01501"	57895.9186147186
"ko01502"	54925.3056277056
"ko01503"	87365.4079365079
"ko01523"	24114.6786435786
"ko01524"	10831.8194805195
"ko02010"	701935.583405483
"ko02020"	347840.42987013
"ko02024"	293306.726695527
"ko02025"	24477.69004329
"ko02026"	109557.425108225
"ko02030"	44179.3924963925
"ko02040"	58599.874025974
"ko02060"	303723.709379509
"ko03008"	8335.55266955267
"ko03010"	579826.377922078
"ko03013"	15153.5209235209
"ko03018"	103093.042712843
"ko03020"	27615.5164502165
"ko03030"	109012.478066378
"ko03060"	125666.286724387
"ko03070"	133240.449206349
"ko03320"	9266.88499278499
"ko03410"	69017.5303030303
"ko03420"	71687.1995670996
"ko03430"	153901.140548341
"ko03440"	155727.839393939
"ko03450"	14.2
"ko04011"	1478.58744588745
"ko04013"	8335.55266955267
"ko04016"	15264.9401154401
"ko04066"	15657.7865800866
"ko04068"	9814.14011544012
"ko04070"	18062.9402597403
"ko04072"	9458.20981240981
"ko04080"	5454.74444444444
"ko04112"	76626.5255411255
"ko04122"	74284.4467532468
"ko04141"	7210.39855699856
"ko04142"	25024.3813852814
"ko04146"	24734.086002886
"ko04151"	7009.69855699856
"ko04152"	8649.16883116883
"ko04210"	146.211111111111
"ko04211"	9814.14011544012
"ko04212"	30844.8630591631
"ko04213"	20573.4070707071
"ko04214"	12640.6066378066
"ko04216"	3852.08802308802
"ko04217"	29043.6402597403
"ko04260"	346.090909090909
"ko04612"	7009.69855699856
"ko04614"	244.927272727273
"ko04621"	21671.9441558442
"ko04622"	5413.3
"ko04626"	17715.3538239538
"ko04657"	7009.69855699856
"ko04659"	7009.69855699856
"ko04714"	4388.95873015873
"ko04724"	20706.7209235209
"ko04727"	28851.90995671
"ko04910"	15121.332034632
"ko04914"	7009.69855699856
"ko04915"	7009.69855699856
"ko04917"	6700.15714285714
"ko04918"	13673.8526695527
"ko04920"	2294.55613275613
"ko04922"	39810.7816738817
"ko04928"	115.363636363636
"ko04930"	19313.5193362193
"ko04931"	20458.2653679654
"ko04932"	346.090909090909
"ko04934"	1402.22077922078
"ko04940"	15193.8845598846
"ko04964"	13599.9334776335
"ko04973"	3065.14660894661
"ko04974"	277.066666666667
"ko04976"	115.363636363636
"ko04979"	5454.74444444444
"ko05010"	8722.00721500722
"ko05012"	346.090909090909
"ko05014"	5304.52251082251
"ko05016"	12507.5786435786
"ko05020"	3825.93506493506
"ko05100"	7496.14285714286
"ko05110"	458.590909090909
"ko05111"	85237.4183261183
"ko05120"	17730.0988455988
"ko05130"	18177.8571428571
"ko05131"	8633
"ko05132"	16037.7575757576
"ko05133"	28371.5147186147
"ko05134"	17671.4619047619
"ko05142"	1517.58441558442
"ko05143"	1517.58441558442
"ko05146"	69.8444444444444
"ko05150"	5413.3
"ko05152"	29216.2756132756
"ko05165"	19237.1526695527
"ko05166"	5454.74444444444
"ko05200"	12390.718037518
"ko05203"	19237.1526695527
"ko05204"	5381.01948051948
"ko05205"	6933.33189033189
"ko05206"	16162.1810966811
"ko05211"	1402.22077922078
"ko05215"	7009.69855699856
"ko05219"	1402.22077922078
"ko05225"	3978.7987012987
"ko05230"	43085.101010101
"ko05231"	9458.20981240981
"ko05340"	13845.9415584416
"ko05418"	30414.6721500722
