"Pathway"	"Total_sample_counts"
"ko00010"	141689.708333333
"ko00020"	124580.666666667
"ko00030"	108544.758333333
"ko00040"	47270.3666666667
"ko00051"	63391.6916666667
"ko00052"	51372.9666666667
"ko00053"	40409.475
"ko00061"	108997.641666667
"ko00071"	120502.758333333
"ko00072"	52442.5
"ko00100"	130.166666666667
"ko00120"	3645.93333333333
"ko00121"	1038.36666666667
"ko00130"	51360.35
"ko00140"	4645.49166666667
"ko00190"	249648.375
"ko00195"	44473.775
"ko00220"	91590.3916666667
"ko00230"	330350.358333333
"ko00232"	177.5
"ko00240"	237678.783333333
"ko00250"	134829.641666667
"ko00253"	64.75
"ko00260"	165143.05
"ko00261"	38709.9666666667
"ko00270"	164740.466666667
"ko00280"	175346.4
"ko00281"	46037.3
"ko00290"	91554.8
"ko00300"	76399.275
"ko00310"	79559.3833333333
"ko00311"	9204.69166666667
"ko00330"	102947
"ko00332"	9121.26666666667
"ko00333"	32993.4916666667
"ko00340"	83458.25
"ko00350"	74438.075
"ko00360"	115074.733333333
"ko00361"	23626.9
"ko00362"	146658.166666667
"ko00363"	305.75
"ko00364"	11685.7583333333
"ko00365"	17478.25
"ko00380"	102328.758333333
"ko00400"	121710.566666667
"ko00401"	23038.3833333333
"ko00404"	6041.25
"ko00405"	14066.425
"ko00410"	68372.3416666667
"ko00430"	22819.5083333333
"ko00440"	18774.125
"ko00450"	56437.3916666667
"ko00460"	32996.95
"ko00471"	23404.05
"ko00472"	4088.9
"ko00473"	12331.4666666667
"ko00480"	117889.466666667
"ko00500"	72410.7916666667
"ko00510"	2743.85
"ko00511"	7386.11666666667
"ko00513"	1721.16666666667
"ko00514"	1068.51666666667
"ko00515"	1068.51666666667
"ko00520"	142250.266666667
"ko00521"	37827.2916666667
"ko00523"	20934.5333333333
"ko00524"	6697.53333333333
"ko00525"	10995.4333333333
"ko00531"	6626.50833333333
"ko00540"	66259.2833333333
"ko00550"	102977.208333333
"ko00561"	46631.6583333333
"ko00562"	23263.6083333333
"ko00564"	90664.5916666667
"ko00565"	4228.98333333333
"ko00571"	4183.21666666667
"ko00572"	3397.08333333333
"ko00590"	12064.5833333333
"ko00591"	4444.78333333333
"ko00592"	9670.65
"ko00600"	5462.69166666667
"ko00603"	2164.25
"ko00604"	1692
"ko00620"	211758.291666667
"ko00621"	26215.1
"ko00622"	20106.8666666667
"ko00623"	19009.75
"ko00624"	20694.8333333333
"ko00625"	27456.9583333333
"ko00626"	19095.5833333333
"ko00627"	66841.975
"ko00630"	201723.091666667
"ko00633"	12289.3833333333
"ko00640"	169345.933333333
"ko00642"	10726.4333333333
"ko00643"	19370.2333333333
"ko00650"	181712.458333333
"ko00660"	60373.3416666667
"ko00670"	69319.6333333333
"ko00680"	111806.191666667
"ko00710"	72389.8833333333
"ko00720"	154962.958333333
"ko00730"	50741.3916666667
"ko00740"	40799.9333333333
"ko00750"	29142.1833333333
"ko00760"	102869.491666667
"ko00770"	93927.5083333333
"ko00780"	70580.35
"ko00785"	10523.2666666667
"ko00790"	114467.275
"ko00791"	9227.26666666667
"ko00830"	7424.7
"ko00860"	130559.025
"ko00900"	83117
"ko00902"	176.5
"ko00903"	27177.5333333333
"ko00906"	10905.7833333333
"ko00908"	5149.38333333333
"ko00909"	57.75
"ko00910"	90504.175
"ko00920"	119841.441666667
"ko00930"	25276.85
"ko00940"	16212.625
