"Pathway"	"Total_sample_counts"
"ko00010"	573.333333333333
"ko00020"	364.666666666667
"ko00030"	365.166666666667
"ko00040"	182
"ko00051"	312
"ko00052"	381.5
"ko00053"	90.5
"ko00061"	312.5
"ko00071"	200.5
"ko00072"	23
"ko00120"	7.16666666666667
"ko00121"	7.16666666666667
"ko00130"	282.833333333333
"ko00140"	35.8333333333333
"ko00190"	606.5
"ko00195"	180
"ko00220"	274.666666666667
"ko00230"	1330.33333333333
"ko00240"	860.333333333333
"ko00250"	491
"ko00260"	550.333333333333
"ko00261"	163.166666666667
"ko00270"	503.333333333333
"ko00280"	187.666666666667
"ko00281"	74.6666666666667
"ko00290"	207.166666666667
"ko00300"	245
"ko00310"	125.833333333333
"ko00311"	7.16666666666667
"ko00330"	207.666666666667
"ko00332"	29.6666666666667
"ko00333"	59.8333333333333
"ko00340"	208.166666666667
"ko00350"	164.666666666667
"ko00360"	75.1666666666667
"ko00362"	82.3333333333333
"ko00380"	97.6666666666667
"ko00400"	349.333333333333
"ko00401"	67
"ko00405"	36.8333333333333
"ko00410"	89.5
"ko00430"	118.666666666667
"ko00440"	14.8333333333333
"ko00450"	201.5
"ko00460"	74.6666666666667
"ko00471"	59.3333333333333
"ko00472"	7.66666666666667
"ko00473"	59.8333333333333
"ko00480"	223
"ko00500"	418.833333333333
"ko00511"	96.6666666666667
"ko00513"	44.5
"ko00520"	763.166666666667
"ko00521"	66
"ko00523"	28.6666666666667
"ko00525"	21.5
"ko00531"	66.5
"ko00540"	332.5
"ko00550"	297.666666666667
"ko00561"	164.666666666667
"ko00562"	114
"ko00564"	349.833333333333
"ko00565"	14.8333333333333
"ko00572"	14.8333333333333
"ko00590"	22.5
"ko00591"	14.8333333333333
"ko00592"	44.5
"ko00600"	66
"ko00603"	67
"ko00604"	44.5
"ko00620"	692
"ko00625"	59.3333333333333
"ko00626"	59.3333333333333
"ko00627"	29.6666666666667
"ko00630"	501.166666666667
"ko00633"	52.1666666666667
"ko00640"	358
"ko00642"	29.6666666666667
"ko00643"	23
"ko00650"	365.166666666667
"ko00660"	133
"ko00670"	223
"ko00680"	447
"ko00710"	252.666666666667
"ko00720"	431.166666666667
"ko00730"	245
"ko00740"	156.5
"ko00750"	125.833333333333
"ko00760"	304.833333333333
"ko00770"	259.333333333333
"ko00780"	223
"ko00785"	45
"ko00790"	394.333333333333
"ko00791"	21.5
"ko00830"	29.6666666666667
"ko00860"	343.666666666667
"ko00900"	185.666666666667
"ko00903"	29.6666666666667
"ko00908"	14.8333333333333
"ko00910"	307.833333333333
"ko00920"	282.333333333333
"ko00930"	29.6666666666667
"ko00940"	22.5
"ko00950"	29.6666666666667
"ko00960"	59.3333333333333
"ko00966"	14.8333333333333
"ko00970"	2496.83333333333
"ko00980"	52.1666666666667
"ko00982"	52.1666666666667
"ko00983"	208.166666666667
"ko00999"	44.5
"ko01040"	141.166666666667
"ko01051"	29.6666666666667
"ko01053"	83.8333333333333
"ko01054"	22
"ko01055"	14.3333333333333
"ko01100"	9568.33333333333
"ko01110"	4168.5
"ko01120"	3025.66666666667
"ko01130"	2890.33333333333
"ko01200"	1617.16666666667
"ko01210"	407.166666666667
"ko01212"	416.833333333333
"ko01220"	96.6666666666667
"ko01230"	1751.83333333333
"ko01501"	290
"ko01502"	111.5
"ko01503"	296.166666666667
"ko01523"	81.8333333333333
"ko01524"	37.3333333333333
"ko02010"	2017.16666666667
"ko02020"	2130.66666666667
"ko02024"	1137
"ko02025"	297.166666666667
"ko02026"	453.166666666667
"ko02030"	796.833333333333
"ko02040"	814.166666666667
"ko02060"	700.166666666667
"ko03008"	44.5
"ko03010"	1395.83333333333
"ko03013"	29.6666666666667
"ko03018"	282.333333333333
"ko03020"	66.5
"ko03030"	326.333333333333
"ko03060"	274.166666666667
"ko03070"	591.333333333333
"ko03320"	81.3333333333333
"ko03410"	170.833333333333
"ko03420"	126.333333333333
"ko03430"	363.166666666667
"ko03440"	444.5
"ko04011"	14.8333333333333
"ko04013"	22.5
"ko04016"	44.5
"ko04066"	67.5
"ko04068"	37.3333333333333
"ko04070"	44.5
"ko04072"	14.8333333333333
"ko04112"	193.333333333333
"ko04122"	259.333333333333
"ko04141"	14.8333333333333
"ko04142"	66.5
"ko04146"	148.833333333333
"ko04151"	14.8333333333333
"ko04152"	51.6666666666667
"ko04211"	37.3333333333333
"ko04212"	111.5
"ko04213"	52.1666666666667
"ko04214"	22.5
"ko04216"	58.8333333333333
"ko04217"	67
"ko04260"	44.5
"ko04612"	14.8333333333333
"ko04614"	14.3333333333333
"ko04621"	103.333333333333
"ko04626"	125.833333333333
"ko04657"	14.8333333333333
"ko04659"	14.8333333333333
"ko04714"	119.166666666667
"ko04724"	37.3333333333333
"ko04727"	59.3333333333333
"ko04910"	29.6666666666667
"ko04914"	14.8333333333333
"ko04915"	14.8333333333333
"ko04917"	14.8333333333333
"ko04918"	22.5
"ko04920"	51.6666666666667
"ko04922"	59.8333333333333
"ko04928"	14.8333333333333
"ko04930"	29.6666666666667
"ko04931"	29.6666666666667
"ko04932"	44.5
"ko04934"	7.66666666666667
"ko04940"	36.8333333333333
"ko04964"	14.8333333333333
"ko04972"	7.16666666666667
"ko04973"	29.6666666666667
"ko04974"	7.16666666666667
"ko04976"	7.16666666666667
"ko05010"	81.8333333333333
"ko05012"	44.5
"ko05014"	14.8333333333333
"ko05016"	67
"ko05110"	72.6666666666667
"ko05111"	988.833333333333
"ko05120"	58.8333333333333
"ko05132"	162.166666666667
"ko05133"	14.8333333333333
"ko05134"	117.666666666667
"ko05142"	14.8333333333333
"ko05143"	14.8333333333333
"ko05152"	89
"ko05164"	7.66666666666667
"ko05165"	29.6666666666667
"ko05200"	45
"ko05203"	29.6666666666667
"ko05204"	52.1666666666667
"ko05205"	14.8333333333333
"ko05206"	14.8333333333333
"ko05211"	7.66666666666667
"ko05215"	14.8333333333333
"ko05219"	14.8333333333333
"ko05225"	22.5
"ko05230"	89.5
"ko05231"	14.8333333333333
"ko05340"	29.6666666666667
"ko05418"	74.6666666666667
