OTU,Total_sample_counts
otu_1111944,42
otu_563240,25
otu_300811,54
otu_1049387,44
otu_180752,60
otu_711803,74
otu_580743,54
otu_1062748,87
otu_269774,42
otu_805151,1237
otu_822354,31
otu_1107011,263
otu_439036,38
otu_1111496,236
otu_814282,171
otu_1044436,105
otu_New.0.ReferenceOTU827,110
otu_New.0.ReferenceOTU176,23
otu_646549,185
otu_New.0.ReferenceOTU177,31
otu_550936,209
otu_759916,158
otu_580625,77
otu_New.0.ReferenceOTU445,70
otu_992510,706
otu_128390,102
otu_889025,121
otu_1017181,129
otu_248395,79
otu_New.0.ReferenceOTU43,27545
otu_1108275,131
otu_573035,8453
otu_942852,71
otu_588659,61
otu_1106324,188
otu_New.0.ReferenceOTU357,957
otu_279204,145
otu_587912,33
otu_812496,278
otu_New.0.CleanUp.ReferenceOTU32266,70
otu_1106617,5162
otu_1107128,69
otu_1108726,656
otu_990864,205
otu_538602,86
otu_697479,105
otu_813418,76
otu_544847,823
otu_544841,68
otu_570444,107
otu_1108308,53
otu_1011712,103
otu_777466,28
otu_557690,12
otu_674655,116
otu_589040,126
otu_739614,115
otu_1003206,178
otu_360432,31
otu_541299,96
otu_780788,50
