OTU,AQ999,AQ994,AQ735,AQ736,AQ213,AQ216,AQ215,AQ502,AQ187,AQ188,AQ189,AQ424,AQ710,AQ239,AQ525,AQ526,AQ527,AQ708,AQ709,AQ551,AQ552,AQ554,AQ396,AQ398,AQ684,AQ682,AQ447,AQ606,AQ603,AQ161,AQ162,AQ163,AQ762,AQ760,AQ761,AQ577,AQ371,AQ370,AQ372,AQ111,AQ110,AQ86,AQ84,AQ85,AQ629,AQ369,AQ109,AQ292,AQ293,AQ291,AQ294,AQ580,AQ630,AQ632,AQ137,AQ136,AQ135,AQ345,AQ346,AQ343,AQ658,AQ657,AQ655,AQ58,AQ241,AQ240,AQ242,AQ450,AQ320,AQ499,AQ476,AQ475,AQ32,AQ31,AQ318,AQ317,AQ268,AQ261,AQ267,AQ266,AQ265,AQ448,AQ451,AQ6,AQ8
otu_1866742,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,2,0,0,0,0,5,0,0,0,0,9,0,1,0,0,0,5,0,5,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,8,0,4,0,0,0,3,0,0,0,0,2,0,0,0,6,0,0,6,8,0,0
otu_132837,2,0,1,13,0,0,41,3,5,1,0,0,0,46,5,0,0,0,0,1,152,1,0,0,0,21,4,0,0,3,0,1,0,374,2,4,0,1,13,0,13,0,1,0,4,0,1,275,0,4,0,6,0,0,0,1,18,0,0,0,6,0,0,455,0,98,0,0,0,4,0,0,0,4,7,0,11,0,0,3,2,206,3,10,10
otu_590218,0,0,0,0,2,0,1,0,0,0,0,0,0,15,0,0,1,0,0,0,20,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,2,6,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,2,0,0,0,3,0,0,0,0,2,0,1,14,0,0,0,0,0,0,1,1,0,0
otu_544680,8,58,0,0,0,0,13,2,10,15,0,0,0,145,50,7,0,1,0,3,69,0,3,0,0,253,138,0,12,2,0,0,0,79,0,4,0,39,6,0,221,0,3,1,39,0,5,49,0,9,0,1,0,0,0,63,22,0,0,0,0,0,9,178,0,116,0,0,0,227,0,1,0,266,65,3,1,0,0,0,0,36,378,2,1
otu_New.0.ReferenceOTU174,0,2,0,0,1,0,2,0,6,3,0,0,0,74,31,0,0,1,0,0,5,0,0,0,0,46,0,1,0,1,0,0,0,20,0,1,0,8,1,0,42,0,0,0,0,0,0,12,0,8,0,1,0,0,0,17,18,0,0,0,0,0,5,30,0,24,0,0,0,90,0,0,0,122,18,3,2,1,0,0,0,1,1,0,0
otu_New.0.ReferenceOTU392,0,12,0,10,0,0,1,7,2,0,0,1,0,10,4,0,0,0,0,1,5,4,0,2,1,49,10,6,0,0,0,0,0,6,0,0,0,0,10,0,19,1,1,0,7,0,0,9,0,1,0,5,0,0,0,7,2,0,0,0,2,0,0,21,0,10,2,22,0,36,0,0,0,65,7,0,15,0,0,0,0,3,40,0,1
otu_New.0.ReferenceOTU138,2,16,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,6,115,0,10,0,0,0,124,0,44,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,46,9,0,0
otu_New.0.ReferenceOTU727,0,6,1,0,0,0,7,0,0,3,0,0,0,13,5,0,0,1,0,0,8,0,0,0,0,60,9,0,2,0,0,0,0,12,0,2,0,3,2,3,25,0,0,0,4,0,0,4,2,3,0,0,0,0,0,4,3,0,0,0,0,0,1,30,0,12,1,0,0,24,0,0,0,16,21,0,0,0,0,0,0,5,24,0,2
otu_New.0.ReferenceOTU791,12,459,4,0,1,0,209,0,88,30,0,5,0,2041,404,15,1,7,0,27,340,0,31,0,0,1361,1648,3,220,24,0,12,0,237,5,21,0,110,0,6,905,0,7,10,173,0,8,89,16,143,1,0,1,0,1,108,331,6,2,1,0,2,24,698,4,485,0,1,0,1514,0,2,4,810,510,16,11,26,2,5,4,339,806,2,0
otu_New.0.ReferenceOTU678,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0,0,0,0,0,0,1,0,0,0,36,14,0,3,0,0,0,0,7,0,0,0,1,4,0,14,0,0,0,3,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,9,0,1,0,15,0,0,0,47,2,1,2,0,0,1,0,0,25,0,0
otu_New.0.CleanUp.ReferenceOTU16366,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,166,0,2,3,0,0,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,132,21,0,13
