OTU,Total_sample_counts
113013,14
505587,24
165827,9
563240,248
820978,1269
1107833,3
1086889,8
1076969,11
919487,5
300811,11
552026,2
180752,17
580743,497
609982,202
807443,10
740871,93
1084157,30
364926,174
689950,8
810959,5
805151,416
822354,11
164190,6
612706,8
439036,15
322927,8
939892,11
1111496,1
589792,700
588210,1
420127,5
592628,127
1077373,2
873887,14
369064,33
865469,227
1107027,27129
585419,24
539305,7
182418,7
1091685,2
554339,2
4428164,19
932696,8
550936,48
1084417,13
1060029,49
542066,62
929901,2
759916,46
3507733,11
592832,57
561885,7
790545,7
1111294,8483
876170,11
1108208,6
172413,3
589691,3
788268,2
586458,9
217386,6
359984,44
580625,193
334459,417
248648,5
1109744,13
552922,10
363305,2
435928,29
154960,9
558264,3
1069592,4
918840,3
510422,19
809486,25
1101451,146
551969,18
1017181,27
591699,1
248395,982
544480,1
989870,23
503174,8
262095,777
583656,373
367535,38
537290,149
984831,202
1080820,13
942852,75
588659,45
540737,12
1081815,10
1088305,33
113396,3
988314,475
956811,7
874750,4
4395263,6
813945,92
279204,7
510174,14
4307652,7
183182,4
587912,3
589754,71
1013670,177
898309,7
812496,7
1068470,4
532336,7
279193,6
1108289,441
574655,31
581982,1
995960,18
1084906,3
860929,18
465989,1
37948,9
529216,8
818181,96
543684,7
716006,229
361600,20
1106617,25629
754823,2
894774,5
269907,8
787709,6
968954,46
593376,4
545445,1
191237,18
559527,1563
1654477,35739
589547,55
4404401,1
1108638,19
239951,11
830290,319
806566,19
820086,9
1039872,7
1083037,9
450209,9
108049,16
310003,8
540982,4458
238940,8
1047075,2
1082607,6
697479,217
813418,552
544847,11090
544841,1130
271297,21
1108308,11
1011712,16
894928,57
337083,32972
559046,1
861807,4
539213,8
805854,1090
528421,251
133075,20
547396,1620
940737,27
903158,17
308081,541
674655,1861
209511,268
974121,168
1866742,192
1139618,10
388951,11
566062,39
297672,3
821717,8
1084865,581
849156,6
829851,51
963779,4
265873,11
804735,18
1009894,9
1009362,16
1082059,328
1097359,61
360432,3
541299,1528
276149,80
559613,33
780788,13
97361,3
914108,13
719367,9
532419,10
2752360,38
1111944,499
541086,5
558885,5
836539,25
541506,3
829814,64
1042850,12
830688,23
1049387,449
711803,349
1082539,20
1069816,6
956625,2
593209,29
1062748,694
584109,4
308309,285
4385756,705
965048,5
1108960,95
574102,4
833317,12
132837,2852
1107011,398
845561,15
987760,2037
1044436,152
585648,6
547808,4
953050,13
760967,12
836783,31
906820,2
1007180,41
179845,30
785526,23
225795,3
687940,19
963854,2
588161,3
588165,8
590218,942
1068902,7
1099802,11
666666,12
579608,87
646549,99
902334,48
351979,7151
351976,3982
836573,4
540269,5
403068,10
941487,20
688714,8
503387,8
206826,3
1040713,7
777272,8
721526,17
839235,15
580411,84
9510,19047
156357,7483
768553,525
814277,24
529652,324
992510,6227
128390,17
933546,63
807369,28
1020605,38
176420,99
377613,2
822419,8
979107,22
1075821,11
889025,163
703741,496
1133602,2
582379,1047
823476,37
543151,384
1108275,300
153687,3
827497,1
1834768,34
160015,345
291844,390
538237,1
156145,17
1105574,4
573035,5631
349901,10
568556,7
656307,7
590586,35
593724,5
4440085,3
587532,2
4476095,2
288283,3
996116,3
900973,1
548576,2450
1106324,807
288029,9
239345,30
4342113,95
588455,2
553623,19
591748,52
712677,567
828483,53125
539735,42
580254,7
152229,19
580495,10
535375,71
667570,107
571320,343
1016923,12
996487,9
1084952,63
4422519,9
1005844,22
433739,10
1078248,5
1074625,5
544680,4856
1011088,16
925494,8
807522,10
566216,5
1111582,71
861376,11
572889,30513
446403,21
34791,1413
1107128,1
589376,3
553648,1
1108726,9218
990864,86
359750,843
579141,3
1076316,4
909420,20
538602,488
941278,3
530833,4
544313,3082
1047041,46
570385,6
1078207,5
593997,30
4318989,13
1033018,23
835594,8
578837,7
570444,12
922761,114
4028105,8
777466,12
1099914,44
1048194,3
534507,9
233981,3736
587444,10
1029165,8
998905,7
563572,58
581231,19
1011954,3
1565317,50
893979,8
584500,25
1074210,32
519864,186
582018,5
589040,6
27938,145
589597,19
883748,6
739614,733
1068572,9
593489,28
350697,3761
134265,5
1003206,76
648540,12
4360168,39
562010,4
1101488,74
1083194,200
199416,7
255161,15
176591,12
917156,2
810672,41
533373,279
889661,3
2855257,1
938948,26
879040,13
1052264,27
585493,9
1051517,66
789831,63
1083508,64
