OTU,Total_sample_counts
113013,11
505587,104
165827,47
563240,25
820978,1862
1107833,2
1086889,16
1076969,16
919487,18
300811,54
552026,4
180752,60
580743,54
609982,1540
807443,10
740871,114
1084157,96
364926,617
689950,23
810959,37
805151,1237
822354,31
164190,1
557935,1
612706,4
439036,38
322927,30
939892,8
1111496,236
589792,531
588210,7
420127,54
592628,292
1077373,2
873887,25
369064,30
865469,305
1107027,14462
585419,79
539305,21
182418,6
1091685,4
554339,11
4428164,44
932696,30
550936,209
1084417,23
1060029,105
542066,73
929901,24
759916,158
3507733,1
592832,24
561885,37
790545,43
1111294,3608
876170,25
1108208,12
172413,17
589691,18
788268,19
586458,14
217386,3
359984,552
580625,77
334459,103
248648,39
1109744,1
552922,48
363305,22
435928,90
154960,9
558264,7
1069592,18
918840,20
510422,63
809486,86
1101451,374
551969,247
1017181,129
591699,18
248395,79
544480,1
989870,157
503174,18
262095,1492
583656,337
367535,1095
537290,559
984831,332
1080820,35
942852,71
588659,61
540737,47
1081815,39
1088305,112
113396,6
988314,1465
956811,12
874750,25
4395263,19
813945,115
279204,145
510174,38
4307652,22
183182,14
555715,12
587912,33
589754,120
1013670,311
898309,9
812496,278
1068470,22
532336,9
279193,10
1108289,472
574655,108
581982,9
995960,40
1084906,24
860929,11
465989,32
37948,185
529216,5
818181,60
543684,36
716006,103
361600,10
386273,7
1106617,5162
754823,22
894774,11
269907,51
787709,29
968954,122
593376,33
545445,3
191237,19
559527,10
1654477,32706
589547,40
4404401,30
1108638,74
239951,15
830290,632
806566,20
820086,9
1039872,20
1083037,19
450209,31
108049,31
310003,21
540982,4324
238940,6
1047075,17
1082607,10
697479,105
813418,76
544847,823
544841,68
271297,28
1108308,53
1011712,103
894928,23
337083,30493
861807,12
539213,15
1057260,7
541875,7
805854,15957
528421,384
133075,39
547396,60
940737,27
903158,53
308081,466
674655,116
209511,373
974121,64
1866742,82
1139618,4
388951,37
811663,1
566062,77
297672,8250
821717,2
1084865,2219
849156,17
829851,124
963779,55
265873,15
804735,27
1009894,30
1009362,49
1082059,452
1097359,307
360432,31
541299,96
276149,336
559613,11
780788,50
97361,19
914108,32
719367,14
532419,13
2752360,35
1111944,42
541086,23
558885,29
836539,9
541506,8
829814,38
1042850,20
830688,53
1049387,44
711803,74
1082539,103
1069816,16
956625,2
593209,10
1062748,87
584109,24
308309,444
4385756,286
965048,2
1108960,178
574102,14
833317,187
132837,1836
1107011,263
845561,8
987760,1628
1044436,105
585648,5
547808,4
953050,6
760967,9
836783,55
906820,29
1007180,18
179845,190
785526,68
225795,18
687940,81
963854,6
588161,2
588165,3
590218,131
1068902,33
1099802,16
666666,10
579608,347
646549,185
902334,344
351979,8315
351976,932
836573,13
540269,21
403068,16
941487,233
688714,47
503387,45
206826,26
1040713,9
777272,16
721526,63
839235,33
580411,162
9510,19647
156357,175
768553,292
814277,62
529652,635
992510,706
128390,102
933546,130
807369,308
1020605,24
176420,7
377613,2
822419,49
979107,22
1075821,23
889025,121
703741,48
1133602,11
582379,2987
823476,234
543151,790
1108275,131
153687,3
827497,12
1834768,23
160015,467
291844,405
538237,6
156145,5
1105574,43
573035,8453
349901,46
568556,8
656307,8
590586,73
593724,4
4440085,5
587532,4
4476095,4
288283,20
996116,42
900973,20
548576,3150
1106324,188
288029,36
239345,28
4342113,64
588455,5
553623,34
591748,78
712677,1996
828483,28713
539735,34
156109,1083
580254,2
152229,32
580495,8
535375,728
667570,100
571320,336
1016923,23
996487,10
1084952,119
4422519,44
1005844,9
433739,10
1078248,51
1074625,20
544680,2613
1011088,20
925494,24
807522,5
566216,10
1111582,102
861376,9
572889,30739
446403,71
34791,20
1107128,69
589376,19
553648,12
1108726,656
990864,205
359750,665
579141,8
1076316,11
909420,7
538602,86
941278,23
530833,43
544313,488
1047041,205
570385,65
1078207,20
593997,49
4318989,42
1033018,73
835594,35
578837,6
570444,107
922761,354
4028105,38
777466,28
1099914,75
1048194,26
534507,50
233981,9644
587444,12
1029165,13
998905,20
563572,3932
581231,8
557690,12
1011954,59
1565317,20
893979,17
584500,12
1074210,121
519864,722
582018,12
589040,126
27938,253
589597,65
883748,24
739614,115
1068572,25
593489,52
350697,4961
134265,2
1003206,178
648540,21
4360168,97
562010,20
1101488,145
1083194,987
199416,2
255161,19
176591,13
917156,6
810672,10
533373,234
1047124,1
889661,14
2855257,37
938948,96
879040,74
1052264,11
585493,4
1051517,183
789831,13
1083508,267
1059729,78
42256,5
564704,91
362965,14
654742,38
1104529,686
41476,22
536986,2574
792393,929
3393186,2
833645,266
509913,584
1096738,54
1145070,8
1002005,522
269774,42
1075891,11
578911,30
152483,1
706432,749
966091,31
814282,171
4363473,2
969805,52
516611,27
441265,182
New.0.ReferenceOTU384,346
New.0.ReferenceOTU383,4
New.0.ReferenceOTU121,9
New.0.ReferenceOTU246,132
New.0.ReferenceOTU587,209
New.0.ReferenceOTU584,40
New.0.ReferenceOTU90,3
New.0.ReferenceOTU23,7
New.0.ReferenceOTU471,2
New.0.ReferenceOTU827,110
New.0.ReferenceOTU176,23
New.0.ReferenceOTU177,31
New.0.ReferenceOTU174,598
New.0.ReferenceOTU570,25
New.0.ReferenceOTU576,2
New.0.ReferenceOTU712,1
New.0.ReferenceOTU300,13
New.0.ReferenceOTU302,12
New.0.ReferenceOTU782,38
New.0.ReferenceOTU392,417
New.0.ReferenceOTU158,27
New.0.ReferenceOTU347,897
New.0.ReferenceOTU349,9
New.0.ReferenceOTU179,949
New.0.ReferenceOTU138,450
New.0.ReferenceOTU437,4
New.0.ReferenceOTU432,4
New.0.ReferenceOTU225,6
New.0.ReferenceOTU346,7
New.0.ReferenceOTU618,11
New.0.ReferenceOTU18,35
New.0.ReferenceOTU769,21
New.0.ReferenceOTU293,1
New.0.ReferenceOTU292,7
New.0.ReferenceOTU296,6
New.0.ReferenceOTU245,1
New.0.ReferenceOTU262,11
New.0.ReferenceOTU265,8
New.0.ReferenceOTU463,5
New.0.ReferenceOTU547,4
New.0.ReferenceOTU541,15
New.0.ReferenceOTU58,13
New.0.ReferenceOTU649,27
New.0.ReferenceOTU316,1
New.0.ReferenceOTU311,19
New.0.ReferenceOTU727,318
New.0.ReferenceOTU723,1
New.0.ReferenceOTU792,3
New.0.ReferenceOTU791,14388
New.0.ReferenceOTU445,70
New.0.ReferenceOTU107,12
New.0.ReferenceOTU453,213
New.0.ReferenceOTU100,39
New.0.ReferenceOTU428,199
New.0.ReferenceOTU421,11
New.0.ReferenceOTU427,4
New.0.ReferenceOTU216,107
New.0.ReferenceOTU358,4
New.0.ReferenceOTU359,170
New.0.ReferenceOTU511,2
New.0.ReferenceOTU695,15
New.0.ReferenceOTU806,25
New.0.ReferenceOTU803,16
New.0.ReferenceOTU800,5
New.0.ReferenceOTU678,239
New.0.ReferenceOTU773,3
New.0.ReferenceOTU568,1
New.0.ReferenceOTU153,11
New.0.ReferenceOTU252,7
New.0.ReferenceOTU488,15
New.0.ReferenceOTU254,8
New.0.ReferenceOTU411,35
New.0.ReferenceOTU410,16
New.0.ReferenceOTU413,2
New.0.ReferenceOTU41,294
New.0.ReferenceOTU43,27545
New.0.ReferenceOTU323,20
New.0.ReferenceOTU325,64
New.0.ReferenceOTU324,15
New.0.ReferenceOTU739,211
New.0.ReferenceOTU34,15
New.0.ReferenceOTU103,188
New.0.ReferenceOTU37,17
New.0.ReferenceOTU31,12
New.0.ReferenceOTU745,603
New.0.ReferenceOTU329,8
New.0.ReferenceOTU111,36
New.0.ReferenceOTU169,1500
New.0.ReferenceOTU168,64
New.0.ReferenceOTU165,9
New.0.ReferenceOTU167,23
New.0.ReferenceOTU161,141
New.0.ReferenceOTU162,4
New.0.ReferenceOTU369,34
New.0.ReferenceOTU562,2
New.0.ReferenceOTU680,626
New.0.ReferenceOTU71,3
New.0.ReferenceOTU74,13
New.0.ReferenceOTU75,5
New.0.ReferenceOTU77,4
New.0.ReferenceOTU709,3
New.0.ReferenceOTU660,11
