OTU,Total_sample_counts
otu_820978,1269
otu_609982,202
otu_364926,174
otu_1111294,8483
otu_334459,417
otu_551969,18
otu_262095,777
otu_583656,373
otu_367535,38
otu_1654477,35739
otu_540982,4458
otu_337083,32972
otu_308081,541
otu_308309,285
otu_4385756,705
otu_902334,48
otu_351979,7151
otu_768553,525
otu_529652,324
otu_291844,390
otu_712677,567
otu_828483,53125
otu_535375,71
otu_572889,30513
otu_359750,843
otu_533373,279
otu_New.0.ReferenceOTU179,23
otu_New.0.ReferenceOTU745,462
otu_New.0.CleanUp.ReferenceOTU1621,740
otu_New.0.CleanUp.ReferenceOTU15269,438
otu_New.0.CleanUp.ReferenceOTU19193,22108
otu_New.0.CleanUp.ReferenceOTU22635,775
otu_New.0.CleanUp.ReferenceOTU43340,1007
otu_New.0.CleanUp.ReferenceOTU50341,940
otu_New.0.CleanUp.ReferenceOTU104626,1469
otu_New.0.CleanUp.ReferenceOTU108577,992
otu_New.0.CleanUp.ReferenceOTU111477,1311
otu_New.0.CleanUp.ReferenceOTU116380,926
otu_New.0.CleanUp.ReferenceOTU125389,470
otu_New.0.CleanUp.ReferenceOTU138349,1006
otu_New.1.ReferenceOTU260,1008
otu_New.1.ReferenceOTU183,6800
