Group: 1
OTUID	class	order	family	genus 
291844	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	
New.0.CleanUp.ReferenceOTU43340	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
1111294	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	Unknown	
334459	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	Unknown	
583656	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	
902334	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	
New.0.ReferenceOTU179	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	Unknown	
New.0.CleanUp.ReferenceOTU1621	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU116380	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	
351979	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
820978	c__Gammaproteobacteria	o__Vibrionales	f__Pseudoalteromonadaceae	Unknown	
337083	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	
New.0.CleanUp.ReferenceOTU104626	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
828483	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	
New.0.CleanUp.ReferenceOTU15269	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
New.1.ReferenceOTU260	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Unknown	
609982	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	
New.0.CleanUp.ReferenceOTU125389	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	
New.0.ReferenceOTU745	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
308081	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
New.0.CleanUp.ReferenceOTU108577	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	
572889	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
308309	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Unknown	
262095	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	Unknown	
529652	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Sutterella	
New.1.ReferenceOTU183	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	Unknown	
New.0.CleanUp.ReferenceOTU111477	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
4385756	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Unknown	
1654477	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
